UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,,,,
Sen. Dan Sullivan,@SenDanSullivan,2023-11-01T22:02:49.000Z,"Sen. Dan Sullivan
@SenDanSullivan
路
Nov 2","I鈥檒l be on the Senate floor shortly with 
@SenJoniErnst
, 
@SenToddYoung
, 
@LindseyGrahamSC
 to individually bring up for a vote the military nominees currently being held.

 Watch live: https://senate.gov/legislative/floor_activity_pail.htm鈥?,馃摵,13,9,11,[],https://twitter.com/SenDanSullivan/status/1719837422479970621
A. Dru """"Twitmo"""" Kristenev""",@GoldBaron08,2023-11-01T21:47:11.000Z,"A. Dru ""Twitmo"" Kristenev
@GoldBaron08
路
Nov 2","If so, the bunch of you, 
@LindseyGrahamSC
 @SenJoniErnst
 @SenToddYoung
 @SenDanSullivan
 are pathetic excuses for senators.
@SenTuberville
 stands for US, the American people, not your endless wars.
Get with the REAL program.",,,,,['https://pbs.twimg.com/profile_images/1149515833900593154/VJN-UDOh_mini.png'],https://twitter.com/GoldBaron08/status/1719833490953539921
JKK,@ConservJean,2023-11-01T20:02:51.000Z,"JKK
@ConservJean
路
Nov 2","Get on the phones! We the GOP will remember!! Shame on you 
@SenJoniErnst
 @LindseyGrahamSC
 @SenToddYoung
 @SenDanSullivan",馃惌 馃毃,,,,['https://pbs.twimg.com/profile_images/1605984002522890244/FcXf_Nvp_mini.jpg'],https://twitter.com/ConservJean/status/1719807233502978288,,,,
Stanley Henson,@HensonStanley74,2023-11-01T19:55:04.000Z,"Stanley Henson
@HensonStanley74
路
Nov 2","Cowards! 
@LindseyGrahamSC
 @SenJoniErnst
 @DanSullivan_AK
 @ToddYoungIN
 @SenateGOP",馃毃,,,,['https://pbs.twimg.com/profile_images/1605984002522890244/FcXf_Nvp_mini.jpg'],https://twitter.com/HensonStanley74/status/1719805272846221326,,,,
John Newberg,@john_newberg,2023-11-01T19:53:13.000Z,"John Newberg
@john_newberg
路
Nov 2","No kidding 
@SenJoniErnst
 @ChuckGrassley",,,,,['https://pbs.twimg.com/profile_images/1719549579757072384/IHkWTGqo_mini.jpg'],https://twitter.com/john_newberg/status/1719804808586993755,,,,
Daniel,@TomHillsisyphus,2023-11-01T19:42:31.000Z,"Daniel
@TomHillsisyphus
路
Nov 2","Hey 
@SenJoniErnst
 what鈥檚 up? You really working with that tool 
@LeaderMcConnell
 He was good at one time, but once he started shilling for contracts for his extended family; he is what is wrong in Congress. Walk away; work for Iowa, not the deep state.",,,,,['https://pbs.twimg.com/profile_images/1149515833900593154/VJN-UDOh_mini.png'],https://twitter.com/TomHillsisyphus/status/1719802117018325241,,,,
conservative polls,@conserve_polls,2023-11-01T19:37:45.000Z,"conservative polls
@conserve_polls
路
Nov 2","Do you support Sen. Tommy Tuberville blocking woke military confirmations? 
@TTuberville
 @LindseyGrahamSC
 @SenJoniErnst
 @SenSchumer
 @LeaderMcConnell",馃彌 鉁?鉂?,12,12,[],https://twitter.com/conserve_polls/status/1719800915459256571,,,,,
Daryl Seaman,@daseaman14,2023-11-01T19:36:51.000Z,"Daryl Seaman
@daseaman14
路
Nov 2","Is this true 
@SenJoniErnst
?",馃Μ,,,,['https://pbs.twimg.com/profile_images/1149515833900593154/VJN-UDOh_mini.png'],https://twitter.com/daseaman14/status/1719800691055583647,,,,
"Scott Owen, Perpetual Browncoat",@drunkcynic,2023-11-01T19:34:16.000Z,"Scott Owen, Perpetual Browncoat
@drunkcynic
路
Nov 2","The Establishment prepares to attack 
@SenTuberville
 for withholding his consent and forcing Congress to actively vote on Military Appointees.
This adds to the reason's I will vote against 
@SenJoniErnst
 at the next opportunity.
So, 
@ChuckGrassley
, what is your position?",,,,,['https://pbs.twimg.com/profile_images/1149515833900593154/VJN-UDOh_mini.png'],https://twitter.com/drunkcynic/status/1719800038019194916,,,,
B. Buck,@BBuck63269384,2023-11-01T19:17:44.000Z,"B. Buck
@BBuck63269384
路
Nov 2","I truly thank God for 
@SenJDVance
  @HawleyMO
 @SenTomCotton
 @MarshaBlackburn
 @SenRonJohnson
 @RepClayHiggins
 @SenJohnKennedy
 @SenRandPaul
 @SenJoniErnst
  NEVER give a group approval on candidates! Always vet them one by one! Thank you for your caution. #CloseOurBorderS",馃檹 馃檹,,,,"['https://pbs.twimg.com/profile_images/1418593424530419712/j-hCSj8s_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719792050307010560/pu/img/aAab2E2wWW23Bv7n.jpg']",https://twitter.com/BBuck63269384/status/1719795878524010800,,,,
Daniel Roth,@daniel_c_roth,2023-11-01T19:06:56.000Z,"Daniel Roth
@daniel_c_roth
路
Nov 2
路","""Senators 
@SenJoniErnst
  (R-IA) and 
@SenBlumenthal
 (D-CT) are pushing for oil sanctions against Iran to actually be enforced by the Biden administration...""  Well, that would be nice... Seize the ships!",馃毃,1,13,16,['https://pbs.twimg.com/card_img/1727787235645480960/-eqZiTCt?format=jpg&name=small'],https://twitter.com/daniel_c_roth/status/1719793160044351796,,,,
Comments on Iowa,@commentoniowa,2023-11-01T13:29:19.000Z,"Comments on Iowa
@commentoniowa
路
Nov 1","non issue by 
@SenJoniErnst
 
Efficiency of federal civil servants increases massively since this 
@WhiteHouse
 came to office & administrators confirmed.
@SenJoniErnst
 has no data or facts, just lying for cameras. #fail
@DMRegister
 @wcfcourier
 @scj
 @OWHnews
 @qctimes
 @gazettedotcom",,,,,"['https://pbs.twimg.com/profile_images/1682228089164554240/Oze8QsT4_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719698298297053184/pu/img/zA1c0kSVzeFFnqYr.jpg']",https://twitter.com/commentoniowa/status/1719708198658048023,,,,
Pete Leo,@peteonpleasant,2023-11-01T13:15:36.000Z,"Pete Leo
@peteonpleasant
路
Nov 1",".
@SenJoniErnst
 Your fascist cult hero Trump still can鈥檛 outright condemn anti-semitism.  Whose side is he on?",鈩?,,,['https://pbs.twimg.com/profile_images/1665782712412536835/GcmnqEU3_mini.jpg'],https://twitter.com/peteonpleasant/status/1719704745978249587,,,,,
Pete Leo,@peteonpleasant,2023-11-01T13:12:33.000Z,"Pete Leo
@peteonpleasant
路
Nov 1",".
@SenJoniErnst
 You claim to be a supporter of our military, yet you allow Tuberville to weaken our military by holding up these military promotions at a time of serious threat.  You are prioritizing politics over country.  Shame.",,,,1,"['https://pbs.twimg.com/profile_images/1332231334761119745/wMzlpuHi_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719442089686028288/pu/img/MKu_kvY4I6JEOiFT.jpg']",https://twitter.com/peteonpleasant/status/1719703976797438326,,,,
Brent Barnett,@BRNAgNews_Brent,2023-11-01T13:03:31.000Z,"Brent Barnett
@BRNAgNews_Brent
路
Nov 1",".
@SenJoniErnst
 tells 
@brownfield
 lawmakers need to act on E15 legislation

More here https://brownfieldagnews.com/news/ernst-says-lawmakers-need-to-act-on-e15-legislation/鈥?#agnews #ethanol #biofuels #renewablefuels",馃帣,2,7,5,['https://pbs.twimg.com/card_img/1729901959635992576/HywHowzt?format=jpg&name=small'],https://twitter.com/BRNAgNews_Brent/status/1719701704386449426,,,,
Joni Ernst,@SenJoniErnst,2023-11-01T12:50:56.000Z,"Joni Ernst
@SenJoniErnst
路
Nov 1","Our veterans are sick and tired of being ignored by the VA. 
 
That鈥檚 why I鈥檓 holding 鈥渂ubble bath鈥?bureaucrats accountable. 

Our veterans answered the call of duty, it鈥檚 past time for federal employees at the VA to do the same.",,41,11,51,['https://pbs.twimg.com/ext_tw_video_thumb/1719698298297053184/pu/img/zA1c0kSVzeFFnqYr.jpg'],https://twitter.com/SenJoniErnst/status/1719698535682060302,,,,
Polk City Democrats,@polkcitydems,2023-11-01T12:13:33.000Z,"Polk City Democrats
@polkcitydems
路
Nov 1","More like corporate greed and illegal practices involving child slave labor. Watch and learn from 
@LastWeekTonight
 
https://youtu.be/FwHMDjc7qJ8?si=TtvInnIhyT8oV4w1鈥?@SenJoniErnst
 should 
@POTUS
 issue an executive order to lower prices? What is it that you want done? Maybe you should introduce legislation?",鈽?馃崿 馃巸,,1,,['https://pbs.twimg.com/profile_images/1682228089164554240/Oze8QsT4_mini.jpg'],https://twitter.com/polkcitydems/status/1719689129074524304,,,,
Gary 'I'm with DeSantis' Gross (I prefer winning.),@LFRGary,2023-11-01T09:16:33.000Z,"Gary 'I'm with DeSantis' Gross (I prefer winning.)
@LFRGary
路
Nov 1","Charlie Kirk's absolutist attitude, Mitch McConnell's capitulation https://libertyprosperityblog.blogspot.com/2023/11/charlie-kirks-absolutist-attitude-mitch.html鈥?
@SenJoniErnst
 @Jim_Jordan
 @Eskola830
 @nickaramaOG
 @MikeCole610308
 @elysnowangel
 @EdMorrissey
 @hughhewitt
 @DavidAsmanfox
 @DavidLimbaugh
 @ReaganWorld
 @lizpeek
 @LizMacDonaldFOX
 @CharlesHurt",,,,,[],https://twitter.com/LFRGary/status/1719644586841129122,,,,
Bangladesher Kotha,@Bangladesherko,2023-11-01T07:42:12.000Z,"Bangladesher Kotha
@Bangladesherko
路
Nov 1","A controversial situation has arisen in the country around the blockade called by BNP. BNP has to take responsibility for these conflicting conditions.

Golam Mortoza
Editor, The Daily Star
@MikeCrapo
 @tedcruz
 @SteveDaines
 @SenJoniErnst
 @SenatorFischer",,,,,['https://pbs.twimg.com/media/F91RrZOagAA_Yrj?format=jpg&name=small'],https://twitter.com/Bangladesherko/status/1719620843293270134,,,,
Comments on Iowa,@commentoniowa,2023-11-01T00:58:16.000Z,"Comments on Iowa
@commentoniowa
路
Nov 1","This is a lie by addicted liar 
@SenJoniErnst",,,,,"['https://pbs.twimg.com/profile_images/1682228089164554240/Oze8QsT4_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719438878296199168/pu/img/PGbHfslqV_KrN-1E.jpg']",https://twitter.com/commentoniowa/status/1719519191311474988,,,,
Jane,@PlaintanJane,2023-11-01T00:57:08.000Z,"Jane
@PlaintanJane
路
Nov 1","Good for 
@LeaderMcConnell
 

@SenatorBraun
  @SenKevinCramer
  @MarshaBlackburn
@SenDanSullivan
@SenJoniErnst
@RogerMarshallMD
 
@SenSusanCollins
@SteveDaines
@SenThomTillis
@LindseyGrahamSC
Show more",,1,2,3,"['https://pbs.twimg.com/media/F9z1KcXb0AATj9k?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1036076785312718849/DqKNeMaJ_mini.jpg']",https://twitter.com/PlaintanJane/status/1719518905486700837,,,,
Comments on Iowa,@commentoniowa,2023-11-01T00:41:14.000Z,"Comments on Iowa
@commentoniowa
路
Nov 1","There she goes again..lying to America and 
@senategop
 gullible sheep.
where you work from if one is in phone support is instantaneous switching.  And patriotic federal service employees are not bureaucrats.  
@SenJoniErnst
 and her offices are like 1970鈥檚 Lillie Tomlinson comedy",馃毃,,,,['https://pbs.twimg.com/profile_images/1682228089164554240/Oze8QsT4_mini.jpg'],https://twitter.com/commentoniowa/status/1719514902652399742,,,,
SandyG,@SmedleyB46,2023-11-02T23:50:48.000Z,"SandyG
@SmedleyB46
路
Nov 3","KUDOS to 
@HouseGOP
 
Now watch Senate Republicans shoot it down on arrival.  
@LeaderMcConnell
 
@LindseyGrahamSC
 
@SenJoniErnst",馃憤,,,,['https://pbs.twimg.com/profile_images/1599130632919126018/OPQL_Xgj_mini.jpg'],https://twitter.com/SmedleyB46/status/1720226986415493558,,,,
TennesseeRockyTop1,@TennesseeGeorg2,2023-11-02T23:50:44.000Z,"TennesseeRockyTop1
@TennesseeGeorg2
路
Nov 3","鈦?@SenTuberville
鈦?鈦?@SenJoniErnst
 鈦?@LeaderMcConnell
鈦?鈦?@GOP
鈦?
@LindseyGrahamSC
鈦?
@MZHemingway
鈦?
@TuckerCarlson
鈦?
@SenateGOP
鈦?鈦itch & his RINO cohort have sold the country out to the Dems. Our country can鈥檛 survive these RINOs. Hold on tight Tommy!",,,,,['https://pbs.twimg.com/media/F995T3tXoAA0Q-Y?format=jpg&name=900x900'],https://twitter.com/TennesseeGeorg2/status/1720226968585613601,,,,
Meet the Press,@MeetThePress,2023-11-02T23:30:20.000Z,"Meet the Press
@MeetThePress
路
Nov 3","WATCH: Tensions boil in the Senate as Sen. Tuberville (R-Ala.) refuses to change his stance on military promotions.

Sen. 
@LindseyGrahamSC
 (R-S.C.): This does 鈥済reat damage to our military.鈥?@SenJoniErnst
 (R-Iowa): 鈥淚 do not respect men who do not honor their word.鈥?,,7,7,18,['https://pbs.twimg.com/profile_images/1726675942938980352/bxKUxCUp_bigger.jpg'", 'https://pbs.twimg.com/amplify_video_thumb/1720221761680097280/img/F84fCYFeYC1jriI1.jpg']",https://twitter.com/MeetThePress/status/1720221837219475850,,,,,,,,
Rachel Bitecofer,@RachelBitecofer,2023-11-02T23:23:50.000Z,"Rachel Bitecofer
@RachelBitecofer
路
Nov 3","Very grateful that 
@SenJoniErnst
 @LindseyGrahamSC
 and other Republican senators are finally standing up for our military men and women. I urge all senate Republicans to support Schumer鈥檚 effort to confirm all held promotions at once.",馃搱,6,84,379,[],https://twitter.com/RachelBitecofer/status/1720220201009258988,,,,
Laura Kennedy,@AmbKennedy_ret,2023-11-02T23:23:45.000Z,"Laura Kennedy
@AmbKennedy_ret
路
Nov 3","Thanks to GOP senators 
@SenatorRomney
 @LindseyGrahamSC
 @SenJoniErnst
 @SenDanSullivan
 @SenToddYoung
 for taking on 
@SenTuberville
 today. Sullivan called Tuberville鈥檚 prolonged hold on 350+ senior military a 鈥渘ational security suicide mission鈥?,,,,1,[],https://twitter.com/AmbKennedy_ret/status/1720220179798351945
Tracey Schwartz,@phillygirl11,2023-11-02T23:21:54.000Z,Tracey Schwartz",,,,,,,,,,
@phillygirl11,,,,,,,,,,,,,,
路,,,,,,,,,,,,,,
Nov 3","So tell me 
@SenJoniErnst
 @LindseyGrahamSC
 what took you eight fucking months to speak out ... that heart attack is on you",,,,,[],https://twitter.com/phillygirl11/status/1720219713761095796,,,,,,,
Aspain,@Aspain9525,2023-11-02T22:57:14.000Z,"Aspain
@Aspain9525
路
Nov 3"," SINGLE SUBJECT SPENDING!  
@NunnForCongress
 @SenJoniErnst
 @ChuckGrassley
 @IowaGOP",馃挴 馃槻 馃槼,,,,"['https://pbs.twimg.com/profile_images/784737657477820416/XmhYRhsx_mini.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1720189537324867584/img/tQlKDQjm3mdD8KKB.jpg']",https://twitter.com/Aspain9525/status/1720213506052555219,,,,
Gunnery Sergeant Jessie Jane Duff,@JessieJaneDuff,2023-11-02T21:28:38.000Z,"Gunnery Sergeant Jessie Jane Duff
@JessieJaneDuff
路
Nov 3",".
@SenJoniErnst
 - intestinal fortitude is exactly what 
@SenTuberville
 is demonstrating.

DoD should never use taxpayers funds to support abortion and lawmakers know it.

Women on active duty understand the law. Dont use them as pawns to support and create a pro-abortion culture.",,9,44,117,['https://pbs.twimg.com/profile_images/1571215482098798609/CPpdiaaR_mini.jpg'],https://twitter.com/JessieJaneDuff/status/1720191206997611003,,,,
"Scott Owen, Perpetual Browncoat",@drunkcynic,2023-11-02T21:25:16.000Z,"Scott Owen, Perpetual Browncoat
@drunkcynic
路
Nov 3","Here in, 
@SenJoniErnst
 attacks 
@SenTuberville
's refusal to provide unanimous consent on Military Appointments. He withholds the consent because DOD policy provides federal funds for abortion, in violation of Federal Law.

I will vote against Ernst next opportunity.",,,,1,"['https://pbs.twimg.com/profile_images/1682228089164554240/Oze8QsT4_mini.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1720182665893011457/img/RhR7VLyRcIKugbp5.jpg']",https://twitter.com/drunkcynic/status/1720190363523047584,,,,
Joni Ernst,@SenJoniErnst,2023-11-02T21:11:20.000Z,"Joni Ernst
@SenJoniErnst
路
Nov 3","172 military families are in limbo.

The Senate can do something now to provide for our servicemembers and national defense.",,155,21,54,['https://pbs.twimg.com/amplify_video_thumb/1720182665893011457/img/RhR7VLyRcIKugbp5.jpg'],https://twitter.com/SenJoniErnst/status/1720186855629439150,,,,
edalati,@09beehee,2023-11-02T21:04:54.000Z,"edalati
@09beehee
路
Nov 3","And BBlinkenkept insistingthat sanctionsare inforced. We disporakept insisting, WH is laying. 
@WhiteHouse
:.
@SenJoniErnst
/.
@SecBlinken
/.",馃ぃ 馃ぃ 馃 馃 馃槨 馃槨 馃槨,,,,['https://pbs.twimg.com/card_img/1730341302087098368/SOaj4_mg?format=jpg&name=small'],https://twitter.com/09beehee/status/1720185234447319522,,,,
Meet the Press,@MeetThePress,2023-11-02T21:01:10.000Z,"Meet the Press
@MeetThePress
路
Nov 3","WATCH: Tensions boil in the Senate as Sen. Tuberville (R-Ala.) refuses to change his stance on military promotions.

Sen. 
@LindseyGrahamSC
 (R-S.C.): This does 鈥済reat damage to our military.鈥?@SenJoniErnst
 (R-Iowa): 鈥淚 do not respect men who do not honor their word.鈥?,,13,11,22,['https://pbs.twimg.com/profile_images/1726675942938980352/bxKUxCUp_bigger.jpg'", 'https://pbs.twimg.com/media/F99SgDnW8AAHXVw.jpg']",https://twitter.com/MeetThePress/status/1720184296843911670,,,,,,,,
ACEethanol,@ACEethanol,2023-11-02T20:32:40.000Z,"ACEethanol
@ACEethanol
路
Nov 3","Thank you 
@SenJoniErnst
 for continuing to advocate for #E15YearRound, including  support for The Consumer and Fuel Retailer Choice Act. Advocates can call on their Members & make sure they also support this important bill by visiting our Action Center:",,1,1,,[],https://twitter.com/ACEethanol/status/1720177124986806673,,,,
B. Buck,@BBuck63269384,2023-11-02T20:31:11.000Z,"B. Buck
@BBuck63269384
路
Nov 3","Correct!! Unconstitutional and illegal! This whole set up to 鈥淕et Trump鈥?is illegitimate, illegal and unconstitutional! 
@marklevinshow
 @MarkSteynOnline
 @SebGorka
 @SenJoniErnst
 @JonathanTurley
 @AlanDersh",,,,1,['https://pbs.twimg.com/profile_images/1598010567725285377/hDfftGbn_mini.jpg'],https://twitter.com/BBuck63269384/status/1720176753111617869,,,,
DemocratVideos.com,@DemocratVideos,2023-11-02T20:13:24.000Z,"DemocratVideos.com
@DemocratVideos
路
Nov 3","All talk no action! Impeach Mayorkas! Biden & Harris next! ALL House & Senate members have blood on their hands due to fentanyl deaths! Democrats don't give a damn about terrorists entering the U.S. America has been compromised!
#JoniErnstNewsArchive
@SenJoniErnst",,,,,['https://pbs.twimg.com/profile_images/1682228089164554240/Oze8QsT4_mini.jpg'],https://twitter.com/DemocratVideos/status/1720172277583532102,,,,
ItIsWhatItIs,@Sportsjunkyjw,2023-11-02T20:12:38.000Z,"ItIsWhatItIs
@Sportsjunkyjw
路
Nov 3","I agree....someone got bought 
@SenJoniErnst",猬?,,,"['https://pbs.twimg.com/profile_images/1601952777147764737/JbZ6XKzX_mini.jpg', 'https://pbs.twimg.com/media/F97lECDWwAAKkaG?format=jpg&name=small']",https://twitter.com/Sportsjunkyjw/status/1720172082183504241,,,,,
Joni Ernst,@SenJoniErnst,2023-11-02T20:02:46.000Z,"Joni Ernst
@SenJoniErnst
路
Nov 3","Reminder: there is no such thing as 鈥渄ebt forgiveness.鈥?
President Biden鈥檚 plan to transfer student loan debt onto hardworking Americans is nothing more than a socialist scheme.",,82,41,127,['https://pbs.twimg.com/card_img/1729859084873011200/paPQxs6O?format=jpg&name=small'],https://twitter.com/SenJoniErnst/status/1720169600766066952,,,,
tzpr,@tzpr,2023-11-02T20:01:56.000Z,"tzpr
@tzpr
路
Nov 3","Shame on 
@LindseyGrahamSC
 @SenJoniErnst
 @LeaderMcConnell
 . We stand with 
@SenTuberville",,,,1,['https://pbs.twimg.com/profile_images/1571215482098798609/CPpdiaaR_mini.jpg'],https://twitter.com/tzpr/status/1720169389092118797,,,,
Deplorable Taz,@moose_taz,2023-11-02T19:58:41.000Z,"Deplorable Taz
@moose_taz
路
Nov 3","DANGEROUS CORRUPT 
@LeaderMcConnell
 @SenJoniErnst
 @LindseyGrahamSC
 @MittRomney
 @SenDanSullivan
 @SenToddYoung
 WORKING WITH CRIMINAL 
@georgesoros
 OPERATIVE 
@SenSchumer
 WHO BLOCK 
@POTUS45
 APPOINTMENTS WITH PROCEDURAL BS AND RESPONSIBLE FOR CA INDY MAC FAILURE 2008",,,,,['https://pbs.twimg.com/profile_images/1409227745670975489/UVBQFdbf_mini.jpg'],https://twitter.com/moose_taz/status/1720168573178450292,,,,
Brent Barnett,@BRNAgNews_Brent,2023-11-02T19:07:09.000Z,"Brent Barnett
@BRNAgNews_Brent
路
Nov 3",".
@SenJoniErnst
 not optimistic a farm bill gets passed anytime soon

Read more on 
@brownfield
 https://brownfieldagnews.com/news/ernst-not-optimistic-a-farm-bill-gets-passed-anytime-soon/鈥?#agnews",馃帣,,2,1,['https://pbs.twimg.com/card_img/1730983942185197569/qLErsrMK?format=jpg&name=small'],https://twitter.com/BRNAgNews_Brent/status/1720155603035705430,,,,
"Nick Searcy, INSURRECTIONAL FILM & TELEVISION STAR",@yesnicksearcy,2023-11-02T18:59:02.000Z,"Nick Searcy, INSURRECTIONAL FILM & TELEVISION STAR
@yesnicksearcy
路
Nov 3","Simple. 
@TTuberville
 is correct and a man of principle. 
@SenJoniErnst
 is a traitor to the people who elected her.",,20,137,592,"['https://pbs.twimg.com/profile_images/1599596465130700800/njeeSJmC_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719865095432310785/pu/img/1bFDi6onHcu6ylxl.jpg']",https://twitter.com/yesnicksearcy/status/1720153562599059827,,,,
